"","station_id","stationname","date","daytype","rides","yearNumber"
"61",40890,"O'Hare Airport","12/26/2017","W",11094,"2017"
"539",40890,"O'Hare Airport","12/01/2017","W",12447,"2017"
"672",40890,"O'Hare Airport","12/11/2017","W",10136,"2017"
"858",40890,"O'Hare Airport","12/12/2017","W",9406,"2017"
"1063",40890,"O'Hare Airport","12/25/2017","U",7244,"2017"
"1278",40890,"O'Hare Airport","12/18/2017","W",10813,"2017"
"1356",40890,"O'Hare Airport","12/29/2017","W",10562,"2017"
"1544",40890,"O'Hare Airport","12/22/2017","W",9493,"2017"
"1705",40890,"O'Hare Airport","12/31/2017","U",7361,"2017"
"1954",40890,"O'Hare Airport","12/16/2017","A",8450,"2017"
"1994",40890,"O'Hare Airport","12/10/2017","U",8994,"2017"
"2104",40890,"O'Hare Airport","12/07/2017","W",10554,"2017"
"2122",40890,"O'Hare Airport","12/24/2017","U",6777,"2017"
"2369",40890,"O'Hare Airport","12/15/2017","W",11057,"2017"
"2426",40890,"O'Hare Airport","12/03/2017","U",9308,"2017"
"2691",40890,"O'Hare Airport","12/19/2017","W",10193,"2017"
"2938",40890,"O'Hare Airport","12/27/2017","W",11154,"2017"
"3035",40890,"O'Hare Airport","12/02/2017","A",8542,"2017"
"3211",40890,"O'Hare Airport","12/06/2017","W",9540,"2017"
"3250",40890,"O'Hare Airport","12/28/2017","W",11141,"2017"
"3666",40890,"O'Hare Airport","12/17/2017","U",9018,"2017"
"3709",40890,"O'Hare Airport","12/14/2017","W",10629,"2017"
"3716",40890,"O'Hare Airport","12/30/2017","A",8847,"2017"
"3737",40890,"O'Hare Airport","12/21/2017","W",9558,"2017"
"3805",40890,"O'Hare Airport","12/13/2017","W",9306,"2017"
"3824",40890,"O'Hare Airport","12/04/2017","W",9785,"2017"
"3859",40890,"O'Hare Airport","12/20/2017","W",9799,"2017"
"3958",40890,"O'Hare Airport","12/09/2017","A",8033,"2017"
"3969",40890,"O'Hare Airport","12/08/2017","W",11875,"2017"
"4335",40890,"O'Hare Airport","12/23/2017","A",7578,"2017"
"4395",40890,"O'Hare Airport","12/05/2017","W",9669,"2017"
"4677",40890,"O'Hare Airport","02/20/2018","W",10017,"2018"
"4744",40890,"O'Hare Airport","03/22/2018","W",10836,"2018"
"4846",40890,"O'Hare Airport","03/28/2018","W",10298,"2018"
"5090",40890,"O'Hare Airport","01/12/2018","W",8264,"2018"
"5206",40890,"O'Hare Airport","02/04/2018","U",7315,"2018"
"5349",40890,"O'Hare Airport","01/07/2018","U",7228,"2018"
"5666",40890,"O'Hare Airport","01/25/2018","W",9090,"2018"
"5715",40890,"O'Hare Airport","01/16/2018","W",7774,"2018"
"5851",40890,"O'Hare Airport","03/21/2018","W",9427,"2018"
"5866",40890,"O'Hare Airport","01/14/2018","U",6114,"2018"
"5914",40890,"O'Hare Airport","01/04/2018","W",8278,"2018"
"5991",40890,"O'Hare Airport","02/12/2018","W",10257,"2018"
"6141",40890,"O'Hare Airport","03/01/2018","W",9506,"2018"
"6229",40890,"O'Hare Airport","02/26/2018","W",10061,"2018"
"6324",40890,"O'Hare Airport","03/16/2018","W",13995,"2018"
"6596",40890,"O'Hare Airport","01/08/2018","W",9362,"2018"
"6656",40890,"O'Hare Airport","02/16/2018","W",11521,"2018"
"7210",40890,"O'Hare Airport","03/07/2018","W",9193,"2018"
"7216",40890,"O'Hare Airport","02/17/2018","A",7786,"2018"
"7577",40890,"O'Hare Airport","03/11/2018","U",9449,"2018"
"7805",40890,"O'Hare Airport","01/01/2018","U",8226,"2018"
"7985",40890,"O'Hare Airport","02/14/2018","W",8724,"2018"
"8369",40890,"O'Hare Airport","01/11/2018","W",7996,"2018"
"8601",40890,"O'Hare Airport","03/15/2018","W",12314,"2018"
"8804",40890,"O'Hare Airport","02/22/2018","W",9912,"2018"
"8822",40890,"O'Hare Airport","01/18/2018","W",7490,"2018"
"9301",40890,"O'Hare Airport","03/09/2018","W",10942,"2018"
"9519",40890,"O'Hare Airport","03/05/2018","W",9879,"2018"
"9530",40890,"O'Hare Airport","02/09/2018","W",9127,"2018"
"9539",40890,"O'Hare Airport","03/24/2018","A",8995,"2018"
"9668",40890,"O'Hare Airport","02/10/2018","A",7658,"2018"
"9869",40890,"O'Hare Airport","03/04/2018","U",8795,"2018"
"10002",40890,"O'Hare Airport","01/22/2018","W",9193,"2018"
"10109",40890,"O'Hare Airport","02/23/2018","W",10450,"2018"
"10142",40890,"O'Hare Airport","03/03/2018","A",8166,"2018"
"10163",40890,"O'Hare Airport","02/25/2018","U",8639,"2018"
"10866",40890,"O'Hare Airport","02/07/2018","W",8148,"2018"
"10902",40890,"O'Hare Airport","03/23/2018","W",11488,"2018"
"10960",40890,"O'Hare Airport","01/05/2018","W",8561,"2018"
"10971",40890,"O'Hare Airport","01/19/2018","W",8293,"2018"
"11224",40890,"O'Hare Airport","02/24/2018","A",7458,"2018"
"11640",40890,"O'Hare Airport","03/02/2018","W",10498,"2018"
"11819",40890,"O'Hare Airport","03/19/2018","W",10574,"2018"
"11863",40890,"O'Hare Airport","01/30/2018","W",8433,"2018"
