"","station_id","stationname","date","daytype","rides","yearNumber"
"75",40350,"UIC-Halsted","12/08/2017","W",7462,"2017"
"114",40350,"UIC-Halsted","12/30/2017","A",837,"2017"
"398",40350,"UIC-Halsted","12/13/2017","W",5828,"2017"
"569",40350,"UIC-Halsted","12/11/2017","W",5614,"2017"
"579",40350,"UIC-Halsted","12/20/2017","W",3072,"2017"
"760",40350,"UIC-Halsted","12/01/2017","W",7718,"2017"
"959",40350,"UIC-Halsted","12/28/2017","W",1575,"2017"
"1031",40350,"UIC-Halsted","12/04/2017","W",7800,"2017"
"1187",40350,"UIC-Halsted","12/19/2017","W",3306,"2017"
"1376",40350,"UIC-Halsted","12/06/2017","W",7813,"2017"
"1471",40350,"UIC-Halsted","12/29/2017","W",1472,"2017"
"1493",40350,"UIC-Halsted","12/17/2017","U",1321,"2017"
"1567",40350,"UIC-Halsted","12/25/2017","U",369,"2017"
"1852",40350,"UIC-Halsted","12/15/2017","W",5217,"2017"
"1894",40350,"UIC-Halsted","12/27/2017","W",1347,"2017"
"2054",40350,"UIC-Halsted","12/05/2017","W",7731,"2017"
"2326",40350,"UIC-Halsted","12/02/2017","A",2340,"2017"
"2534",40350,"UIC-Halsted","12/31/2017","U",800,"2017"
"2884",40350,"UIC-Halsted","12/14/2017","W",5493,"2017"
"2975",40350,"UIC-Halsted","12/09/2017","A",1947,"2017"
"2996",40350,"UIC-Halsted","12/22/2017","W",2334,"2017"
"3006",40350,"UIC-Halsted","12/24/2017","U",659,"2017"
"3374",40350,"UIC-Halsted","12/07/2017","W",7661,"2017"
"3486",40350,"UIC-Halsted","12/18/2017","W",3216,"2017"
"3646",40350,"UIC-Halsted","12/16/2017","A",1915,"2017"
"4074",40350,"UIC-Halsted","12/12/2017","W",5553,"2017"
"4188",40350,"UIC-Halsted","12/26/2017","W",1019,"2017"
"4191",40350,"UIC-Halsted","12/23/2017","A",997,"2017"
"4225",40350,"UIC-Halsted","12/10/2017","U",1285,"2017"
"4242",40350,"UIC-Halsted","12/21/2017","W",2718,"2017"
"4423",40350,"UIC-Halsted","12/03/2017","U",1645,"2017"
"4610",40350,"UIC-Halsted","03/07/2018","W",7467,"2018"
"4645",40350,"UIC-Halsted","02/04/2018","U",1085,"2018"
"4694",40350,"UIC-Halsted","02/13/2018","W",7493,"2018"
"4842",40350,"UIC-Halsted","03/04/2018","U",1397,"2018"
"5089",40350,"UIC-Halsted","03/08/2018","W",7258,"2018"
"5186",40350,"UIC-Halsted","02/02/2018","W",6829,"2018"
"5329",40350,"UIC-Halsted","01/20/2018","A",2216,"2018"
"5465",40350,"UIC-Halsted","01/08/2018","W",2800,"2018"
"5468",40350,"UIC-Halsted","03/23/2018","W",6685,"2018"
"5499",40350,"UIC-Halsted","02/28/2018","W",7501,"2018"
"5552",40350,"UIC-Halsted","03/01/2018","W",7118,"2018"
"5948",40350,"UIC-Halsted","03/11/2018","U",1376,"2018"
"6046",40350,"UIC-Halsted","01/18/2018","W",7420,"2018"
"6155",40350,"UIC-Halsted","02/24/2018","A",2185,"2018"
"6162",40350,"UIC-Halsted","03/20/2018","W",7017,"2018"
"6252",40350,"UIC-Halsted","02/21/2018","W",7634,"2018"
"6330",40350,"UIC-Halsted","01/10/2018","W",3168,"2018"
"6744",40350,"UIC-Halsted","01/03/2018","W",2249,"2018"
"6752",40350,"UIC-Halsted","03/25/2018","U",1430,"2018"
"6793",40350,"UIC-Halsted","03/19/2018","W",7067,"2018"
"6808",40350,"UIC-Halsted","01/14/2018","U",1218,"2018"
"6827",40350,"UIC-Halsted","03/09/2018","W",6909,"2018"
"6869",40350,"UIC-Halsted","02/03/2018","A",1769,"2018"
"7083",40350,"UIC-Halsted","02/09/2018","W",3640,"2018"
"7183",40350,"UIC-Halsted","01/22/2018","W",7505,"2018"
"7504",40350,"UIC-Halsted","02/20/2018","W",7203,"2018"
"7520",40350,"UIC-Halsted","03/10/2018","A",2061,"2018"
"7679",40350,"UIC-Halsted","03/27/2018","W",3200,"2018"
"7712",40350,"UIC-Halsted","03/30/2018","W",2701,"2018"
"7848",40350,"UIC-Halsted","01/25/2018","W",7505,"2018"
"7859",40350,"UIC-Halsted","03/12/2018","W",7260,"2018"
"8525",40350,"UIC-Halsted","03/17/2018","A",3027,"2018"
"8632",40350,"UIC-Halsted","03/28/2018","W",3198,"2018"
"8648",40350,"UIC-Halsted","02/18/2018","U",1362,"2018"
"9131",40350,"UIC-Halsted","03/18/2018","U",1532,"2018"
"9695",40350,"UIC-Halsted","02/05/2018","W",6982,"2018"
"9747",40350,"UIC-Halsted","02/08/2018","W",7342,"2018"
"10097",40350,"UIC-Halsted","02/19/2018","W",6488,"2018"
"10305",40350,"UIC-Halsted","03/29/2018","W",3085,"2018"
"10476",40350,"UIC-Halsted","01/15/2018","W",2004,"2018"
"10536",40350,"UIC-Halsted","03/22/2018","W",7000,"2018"
"10853",40350,"UIC-Halsted","01/13/2018","A",1361,"2018"
"10936",40350,"UIC-Halsted","01/30/2018","W",7324,"2018"
"11497",40350,"UIC-Halsted","02/07/2018","W",7438,"2018"
"11698",40350,"UIC-Halsted","01/16/2018","W",7476,"2018"
"11767",40350,"UIC-Halsted","02/15/2018","W",7412,"2018"
"11919",40350,"UIC-Halsted","03/21/2018","W",7270,"2018"
"11955",40350,"UIC-Halsted","01/07/2018","U",763,"2018"
"12168",40350,"UIC-Halsted","03/05/2018","W",7054,"2018"
"12193",40350,"UIC-Halsted","03/03/2018","A",1978,"2018"
"12226",40350,"UIC-Halsted","03/31/2018","A",1399,"2018"
"12230",40350,"UIC-Halsted","02/01/2018","W",7382,"2018"
"12330",40350,"UIC-Halsted","01/21/2018","U",1293,"2018"
"12348",40350,"UIC-Halsted","02/22/2018","W",7328,"2018"
"12817",40350,"UIC-Halsted","02/14/2018","W",7881,"2018"
"13125",40350,"UIC-Halsted","03/15/2018","W",7326,"2018"
"13244",40350,"UIC-Halsted","03/14/2018","W",7550,"2018"
"13412",40350,"UIC-Halsted","02/26/2018","W",7193,"2018"
"13650",40350,"UIC-Halsted","01/26/2018","W",7355,"2018"
"13712",40350,"UIC-Halsted","01/23/2018","W",7508,"2018"
"13790",40350,"UIC-Halsted","02/25/2018","U",1468,"2018"
"13918",40350,"UIC-Halsted","02/12/2018","W",7328,"2018"
"14192",40350,"UIC-Halsted","02/10/2018","A",1861,"2018"
"14451",40350,"UIC-Halsted","03/02/2018","W",6799,"2018"
"14726",40350,"UIC-Halsted","01/09/2018","W",3019,"2018"
"14844",40350,"UIC-Halsted","03/13/2018","W",7299,"2018"
